Estado,Feminicidio,Homicidio culposo,Homicidio doloso,Otros delitos que atentan contra la vida y la integridad corporal,Total
Guanajuato,7,733,1387,457,2584
Baja California,16,247,932,1474,2669
Chihuahua,25,171,916,665,1777
Sinaloa,24,328,849,383,1584
México,35,809,845,926,2615
Guerrero,12,240,698,23,973
Michoacán de Ocampo,16,742,685,175,1618
Sonora,8,106,622,369,1105
Jalisco,16,599,617,69,1301
Morelos,21,235,582,345,1183
Nuevo León,9,337,479,183,1008
Veracruz de Ignacio de la Llave,17,594,464,151,1226
Puebla,15,517,448,157,1137
Ciudad de México,20,428,439,640,1527
Oaxaca,10,734,418,76,1238
Tabasco,20,254,386,531,1191
Colima,3,85,333,0,421
Chiapas,16,463,207,77,763
Quintana Roo,13,557,170,187,927
Hidalgo,11,93,161,217,482
San Luis Potosí,2,185,141,131,459
Tamaulipas,18,396,120,197,731
Querétaro,9,196,92,505,802
Zacatecas,4,233,88,173,498
Nayarit,7,149,88,18,262
Tlaxcala,4,10,69,0,83
Campeche,6,54,66,50,176
Baja California Sur,3,62,66,155,286
Aguascalientes,2,74,59,69,204
Coahuila de Zaragoza,6,120,42,36,204
Durango,5,117,35,6,163
Yucatán,4,74,15,19,112
